"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002695","negative regulation of leukocyte activation","19/768","212/18860",0.089622641509434,2.20088934748428,3.62285909629211,0.00110875729228814,0.0253436303211841,0.0216124370263525,"SOX11/CDKN2A/IL4I1/INHBA/HMGB3/ILDR2/IL20RB/DLG5/CD37/HAVCR2/PTPN6/FER/LAG3/LAPTM5/PLA2G2D/GLI3/SPN/CSK/FOXJ1",19
"GO:0030198","extracellular matrix organization","26/768","331/18860",0.0785498489425982,1.92897155085599,3.51307216567165,0.00111082384664932,0.0253436303211841,0.0216124370263525,"COL4A6/ITGA8/THSD4/HPSE2/ADAMTS14/DPT/SPINK5/COL11A1/LTBP4/ANTXR2/ZNF469/OLFML2A/MFAP4/PDGFRA/LAMA2/ADAMTS15/COL14A1/CAV1/ADAMTSL2/EGFLAM/FLRT2/ADAMTSL5/MMP9/CARMIL2/P3H4/ADAMTS5",26
"GO:0045926","negative regulation of growth","20/768","229/18860",0.0873362445414847,2.14474163027656,3.59090392653639,0.00114292358173948,0.0259149189570186,0.0220996182040043,"FHL1/SLIT2/CDKN2A/SEMA3G/SPP1/SLIT3/IGFBP5/TRIM46/SEMA5A/INHBA/MEG3/HYAL1/BST2/NPR1/TBX5/SPART/RERG/PSRC1/ACVRL1/STC2",20
"GO:0003338","metanephros morphogenesis","6/768","30/18860",0.2,4.91145833333333,4.41744169849039,0.00114837976422093,0.0259149189570186,0.0220996182040043,"KIF26B/WNT4/FGF10/SIX2/STAT1/FOXJ1",6
"GO:1901568","fatty acid derivative metabolic process","11/768","91/18860",0.120879120879121,2.96846382783883,3.87814656743315,0.00115752530466097,0.0259149189570186,0.0220996182040043,"CYP4F12/THEM5/ACSBG1/ELOVL3/ABCD1/DGAT2/GGT1/NUDT8/ALDH3A2/AWAT1/CYP4F3",11
"GO:0043062","extracellular structure organization","26/768","332/18860",0.0783132530120482,1.92316139558233,3.49646396407353,0.00116004279267617,0.0259149189570186,0.0220996182040043,"COL4A6/ITGA8/THSD4/HPSE2/ADAMTS14/DPT/SPINK5/COL11A1/LTBP4/ANTXR2/ZNF469/OLFML2A/MFAP4/PDGFRA/LAMA2/ADAMTS15/COL14A1/CAV1/ADAMTSL2/EGFLAM/FLRT2/ADAMTSL5/MMP9/CARMIL2/P3H4/ADAMTS5",26
"GO:0042445","hormone metabolic process","21/768","246/18860",0.0853658536585366,2.09635416666667,3.56611398822089,0.00116277991165684,0.0259149189570186,0.0220996182040043,"WNT4/ALDH1A2/SPP1/ESR1/INHBA/RDH12/DGAT2/PCSK2/PDGFRA/DUOXA1/CEL/ADH4/TIPARP/DUOX1/SRD5A3/DKK3/ANPEP/AKR1C1/STC2/HSD3B1/ADH1B",21
"GO:0007565","female pregnancy","18/768","197/18860",0.0913705583756345,2.24381345177665,3.61571578442842,0.00118950009193094,0.0263882647122375,0.022503276053993,"TEAD4/WNT4/SPP1/ESR1/PAPPA/IGFBP5/FBN2/PGR/IL11RA/CITED2/HAVCR2/DSG1/FOSB/PTGIS/TPPP3/MMP9/PARP1/STC2",18
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","23/768","281/18860",0.0818505338078292,2.01002743179122,3.51456688309945,0.00122374393051917,0.0270234095482537,0.0230449122598975,"CXCL9/ADM2/ADGRL3/ADGRD1/ADCY4/CXCL10/PSAPL1/ADRA1A/PTH1R/PTGFR/CXCL12/C5AR1/RAPGEF3/ADCY5/AKAP6/AKAP12/LPAR1/PDE2A/GABBR2/GRIK3/PALM/PLN/ARRDC3",23
"GO:0060047","heart contraction","22/768","265/18860",0.0830188679245283,2.03871855345912,3.50848307124363,0.00129037298872941,0.0283646372956318,0.0241886789523898,"DES/ADM2/SCN7A/ATP1A2/HSPB7/CACNA1G/GSTM2/ADRA1A/FXYD1/HOPX/JPH2/POPDC2/TBX5/CAV1/ANK2/CACNB2/SLC4A3/TRPC1/PLN/SCN4B/NKX2-5/TPM1",22
"GO:0035335","peptidyl-tyrosine dephosphorylation","5/768","21/18860",0.238095238095238,5.84697420634921,4.57876214505049,0.00130505673538789,0.0283932395067913,0.0242130702286065,"PTPRZ1/PTPN13/PTPN6/TNS2/DUSP1",5
