"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"GLDN",-2.47396740001075,0.000303110205099299,TRUE,52,"hsa-let-7a-5p","Downregulated"
"TRIM46",1.97403812742744,0.000303110205099299,TRUE,22,"hsa-let-7d-5p","Upregulated"
"CENPF",2.86930000885363,0.000307204181684846,TRUE,208,"hsa-let-7a-5p","Upregulated"
"CDC6",2.84949841420643,0.00030994263689665,TRUE,150,"hsa-let-7a-5p","Upregulated"
"ZNF469",1.79035170521952,0.000310914573089566,TRUE,68,"hsa-let-7a-5p","Upregulated"
"ARHGAP6",-2.05488565248576,0.000312767758418132,TRUE,37,"hsa-let-7a-5p","Downregulated"
"HOPX",-3.45231287505185,0.000320078238998645,TRUE,47,"hsa-let-7g-5p","Downregulated"
"VGF",4.5090233553621,0.000324388324673327,TRUE,81,"hsa-let-7a-5p","Upregulated"
"FAT4",-2.03810137833498,0.000330138913845248,TRUE,225,"hsa-let-7a-5p","Downregulated"
"NRN1",-2.36476648199496,0.000338509534686877,TRUE,80,"hsa-let-7a-5p","Downregulated"
"SEMA5A",-1.71629151434798,0.000340401936983122,TRUE,127,"hsa-let-7a-3p","Downregulated"
"SVIL",-1.58077677473485,0.000340401936983122,TRUE,118,"hsa-let-7a-5p","Downregulated"
"PLD1",-1.57924779864926,0.000340500333033178,TRUE,59,"hsa-let-7a-5p","Downregulated"
"STARD13",-1.50998269009184,0.000340500333033178,TRUE,131,"hsa-let-7a-5p","Downregulated"
"DNMBP",-1.47255837564581,0.000340500333033178,TRUE,177,"hsa-let-7a-5p","Downregulated"
"WLS",-1.81533263691923,0.000342210034243443,TRUE,127,"hsa-let-7a-3p","Downregulated"
"ADGRA2",-1.5320355806846,0.000348629388810699,TRUE,65,"hsa-let-7a-5p","Downregulated"
"OLFML2A",-1.14072524947597,0.000350201793051032,TRUE,149,"hsa-let-7a-5p","Downregulated"
"INHBA",2.5844016623359,0.000397285267419902,TRUE,115,"hsa-let-7a-5p","Upregulated"
"H3C2",2.49581020308513,0.000410115517562416,TRUE,91,"hsa-let-7a-5p","Upregulated"
"SHMT2",1.53663549635525,0.00041032565522541,TRUE,185,"hsa-let-7a-5p","Upregulated"
"MFAP4",-2.42068003801863,0.000412765002168407,TRUE,17,"hsa-miR-101-3p","Downregulated"
"HMGB3",2.34115674343785,0.000424235770631775,TRUE,134,"hsa-let-7b-5p","Upregulated"
"IL33",-2.62055055070325,0.000429902917247641,TRUE,18,"hsa-miR-130a-3p","Downregulated"
"LSR",1.41335289736764,0.000438050262366297,TRUE,133,"hsa-let-7a-5p","Upregulated"
"LGI4",-1.72662626012248,0.000440481085030776,TRUE,8,"hsa-miR-103a-3p","Downregulated"
"C21orf58",1.30400310328644,0.000440481085030776,TRUE,65,"hsa-let-7a-5p","Upregulated"
