Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
IFITM3P5	41	5	0	17	26	16	13	13	29	26	20	13
IFITM3P6	18	3	0	12	8	3	16	10	10	3	14	18
IFITM3P7	0	0	0	0	0	0	0	1	0	0	0	0
IFITM3P8	0	0	0	0	2	0	1	0	0	0	1	0
IFITM3P9	0	0	0	0	0	0	0	3	3	0	1	0
IFITM4P	1	0	0	0	2	0	2	0	2	0	0	1
IFITM5	29	3	0	10	6	0	16	5	12	9	31	15
IFITM8P	0	0	0	0	0	0	0	0	0	0	0	0
IFITM9P	7	0	0	3	2	3	5	6	0	2	12	9
IFNA1	0	0	0	1	0	0	2	4	0	0	0	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0	0
IFNA11P	0	0	0	0	0	0	0	0	0	0	0	0
IFNA12P	0	0	0	0	0	0	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0	1	0	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0
IFNA20P	0	0	0	1	0	2	2	2	0	0	3	0
IFNA21	0	0	0	0	0	0	0	0	0	0	0	0
IFNA22P	0	0	0	0	0	0	1	0	0	0	0	1
IFNA4	0	0	0	0	0	0	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	158	319	2	111	126	216	289	129	112	213	146	176
IFNAR2	114	180	5	110	91	186	150	100	42	74	113	120
IFNB1	0	0	0	0	0	0	2	0	0	0	0	0
IFNE	2	0	0	0	2	1	2	0	1	2	0	1
IFNG	1	0	0	3	11	1	0	0	0	0	0	1
IFNG-AS1	2	0	0	5	19	1	3	0	2	4	1	9
IFNGR1	178	43	0	90	59	148	238	116	143	190	175	246
IFNGR2	53	63	1	58	23	28	11	23	40	31	63	27
IFNK	12	0	0	17	15	6	35	4	7	4	9	15
IFNL1	0	0	0	0	0	1	0	0	0	0	0	3
IFNL2	0	0	0	0	0	0	0	3	1	0	0	0
IFNL3	0	0	0	0	0	0	0	7	0	1	0	0
IFNL3P1	0	0	0	0	0	0	0	0	0	0	0	1
IFNL4	1	0	0	2	0	2	1	0	0	2	3	1
IFNL4P1	0	0	0	0	0	0	0	0	0	0	0	0
IFNLR1	13	9	0	43	38	41	41	38	64	33	46	58
IFNNP1	0	0	0	4	0	0	0	3	0	0	0	0
IFNW1	0	0	0	0	0	0	1	0	0	0	0	0
IFNWP15	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP18	0	0	0	0	0	0	1	0	0	0	0	0
IFNWP19	0	0	0	0	1	0	0	0	0	0	0	0
IFNWP2	0	0	0	0	0	0	0	0	0	0	2	0
IFNWP4	0	0	0	0	0	0	0	0	0	0	0	2
IFNWP5	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP9	0	0	0	0	0	0	0	0	0	0	0	0
IFRD1	60	18	0	70	68	77	186	120	143	90	111	82
IFRD2	287	161	0	152	116	126	154	115	139	146	321	177
IFT122	202	56	0	157	261	229	377	204	216	223	333	452
IFT140	327	216	0	265	271	484	589	355	408	355	552	602
IFT172	188	31	0	157	137	247	475	156	210	266	220	391
IFT20	28	7	0	19	16	28	29	19	17	30	28	34
IFT22	23	29	0	66	25	43	75	37	33	53	42	52
IFT27	69	40	0	54	45	70	51	48	74	63	109	65
IFT43	36	18	0	24	32	41	59	50	67	50	81	75
IFT46	72	23	2	27	73	77	136	54	92	88	100	170
IFT52	56	7	0	20	35	57	73	41	37	101	59	56
IFT57	48	41	0	48	136	59	64	53	46	105	106	99
IFT74	14	0	0	18	22	20	55	11	25	32	22	42
IFT74-AS1	0	0	0	0	4	0	0	0	0	0	0	0
IFT80	0	0	0	1	0	1	2	0	0	0	0	1
IFT81	23	39	0	42	32	55	92	50	51	51	58	91
IFT88	22	5	0	23	30	61	88	43	50	45	38	96
IFTAP	1	0	0	5	4	8	7	6	0	5	5	6
IGBP1	80	6	0	31	44	56	176	118	64	113	118	157
IGBP1P1	4	0	0	5	2	1	7	2	3	1	1	1
