Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
SPP1	259	6	1	151	174	377	53	4	16	15	17	37
SPP2	0	1	0	0	0	0	0	0	0	0	0	0
SPPL2A	188	105	14	85	111	118	241	123	140	226	190	142
SPPL2B	498	488	1	572	792	957	576	666	612	527	1114	734
SPPL2C	0	0	0	7	1	0	0	0	0	0	1	1
SPPL3	488	631	15	313	331	323	759	713	889	716	722	539
SPR	122	75	0	50	66	83	53	40	30	30	63	47
SPRED1	184	145	2	215	85	164	248	188	248	216	318	192
SPRED2	539	450	2	191	336	296	443	212	229	302	342	491
SPRED3	36	32	0	25	36	29	17	29	69	27	40	25
SPRING1	268	219	2	117	137	462	133	91	91	89	113	121
SPRING1P1	0	0	0	0	0	0	0	0	0	0	0	0
SPRING1P2	4	2	0	2	1	10	6	7	3	5	6	4
SPRN	25	69	0	66	18	26	31	56	40	27	74	43
SPRNP1	0	3	0	3	6	3	1	2	0	2	6	2
SPRR1A	2	0	0	0	16	0	0	145	242	34	177	0
SPRR1B	0	0	0	0	68	0	0	261	395	94	207	0
SPRR2A	0	0	0	0	2	0	0	7	9	0	16	0
SPRR2B	0	0	0	0	0	0	0	0	0	0	5	0
SPRR2C	0	0	0	0	0	0	0	0	0	0	1	0
SPRR2D	0	0	0	0	38	0	0	27	27	1	34	0
SPRR2E	0	0	0	0	12	0	0	4	2	4	44	0
SPRR2F	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2G	0	0	0	0	5	0	0	6	5	4	18	0
SPRR3	0	0	0	0	87	0	0	0	0	0	0	0
SPRR4	0	0	0	0	5	0	0	30	241	1	245	0
SPRR5	0	0	0	0	0	0	0	0	0	0	0	0
SPRTN	37	18	0	39	75	54	52	53	34	41	45	35
SPRY1	149	79	0	153	128	216	390	234	242	306	273	523
SPRY2	71	12	0	82	114	112	267	184	194	172	185	317
SPRY3	6	4	0	12	9	18	4	6	4	4	17	5
SPRY4	411	378	0	109	1328	120	170	162	113	167	220	259
SPRY4-AS1	2	2	0	0	20	4	4	1	0	3	3	3
SPRY4-IT1	0	0	0	0	0	0	0	0	0	0	0	0
SPRYD3	189	199	0	156	256	177	252	272	333	367	464	381
SPRYD4	115	138	1	70	116	71	120	111	92	93	146	108
SPRYD7	13	50	2	9	16	10	30	18	8	35	19	24
SPRYD7P1	1	0	0	0	1	1	0	0	0	0	0	0
SPSB1	185	79	0	153	48	182	80	94	165	195	136	333
SPSB2	24	39	0	79	47	28	39	27	47	60	71	45
SPSB3	1	5	0	4	2	4	5	2	7	8	3	5
SPSB4	27	3	0	12	303	111	18	48	39	103	30	12
SPTA1	6	0	0	0	3	5	1	0	0	1	2	7
SPTAN1	1399	278	4	984	1691	1621	2262	1667	1706	3402	2160	2597
SPTB	18	4	0	8	31	26	39	37	12	53	24	59
SPTBN1	1706	347	1	2841	2010	2587	3816	2797	2918	4494	2753	4894
SPTBN2	1307	1663	69	988	760	920	552	1521	1711	1238	1599	666
SPTBN4	25	18	0	31	17	46	58	85	106	82	99	49
SPTBN5	257	218	0	565	250	273	228	600	533	294	735	432
SPTLC1	164	19	0	128	201	210	300	281	350	368	296	279
SPTLC1P1	14	2	0	6	3	4	14	1	3	10	5	17
SPTLC1P2	0	0	0	0	0	0	1	0	0	0	1	0
SPTLC1P3	0	0	0	0	0	0	0	0	0	0	0	0
SPTLC1P4	0	0	0	0	0	0	0	0	0	0	0	0
SPTLC1P5	2	0	0	0	0	0	0	0	0	0	0	0
SPTLC2	353	186	0	129	152	172	326	209	169	269	194	368
SPTLC3	13	4	0	28	11	83	87	91	110	73	118	96
SPTSSA	110	29	0	14	27	40	61	66	76	85	79	44
SPTSSB	168	2	0	4	82	6	55	50	37	51	31	29
SPTY2D1	82	27	1	63	107	90	118	59	76	130	67	115
SPTY2D1OS	5	1	0	0	7	7	5	9	0	4	6	10
SPX	0	2	0	1	1	0	3	0	0	0	2	1
SPZ1	0	0	0	0	0	0	0	0	0	0	0	0
SQLE	106	33	0	454	60	421	47	51	67	104	113	63
SQLE-DT	0	0	0	0	3	0	0	0	0	0	1	0
SQOR	270	21	0	36	95	107	110	78	120	105	114	147
SQSTM1	1643	758	5	944	773	856	1221	878	1135	1089	1307	1334
SQSTM1P1	0	0	0	0	0	0	0	0	0	0	0	0
SRA1	105	33	0	98	120	109	122	131	141	117	154	132
SRARP	2	2	0	0	0	3	14	2	2	0	9	28
SRBD1	61	1	0	39	166	78	104	35	18	87	44	63
SRC	260	289	5	311	312	404	268	396	465	446	598	323
SRCAP	2346	1018	2	1789	1765	1821	1919	1831	1845	1934	2175	2232
SRCIN1	12	37	0	2	26	15	15	26	3	16	31	17
SRD5A1	269	609	0	62	165	180	102	573	408	148	712	116
SRD5A1P1	2	23	0	0	7	1	1	9	0	2	8	2
SRD5A2	8	0	0	2	0	4	3	1	0	0	2	0
SRD5A3	388	442	5	40	99	60	39	100	69	30	120	60
SRD5A3-AS1	8	5	0	2	7	2	2	3	1	7	5	1
SRD5A3P1	1	0	0	0	3	1	0	0	0	1	0	0
SREBF1	2617	3439	3	1567	782	873	696	1938	1989	1066	3234	1493
SREBF2	1414	701	6	1378	743	1275	732	1664	1649	1368	2306	1418
SREBF2-AS1	71	68	0	53	28	36	26	55	73	58	104	45
SREK1	158	48	0	67	112	194	370	158	146	212	280	239
SREK1IP1	33	3	0	6	17	18	64	39	51	68	46	37
SREK1IP1P1	0	0	0	0	0	0	0	0	0	0	0	0
SREK1IP1P2	0	0	0	0	0	0	0	0	0	0	0	0
SRF	350	135	0	605	205	457	237	706	774	684	881	581
SRFBP1	25	12	0	10	12	21	40	7	15	42	22	35
SRGAP1	189	71	1	132	190	247	464	122	141	278	239	509
SRGAP2	265	30	0	235	223	481	283	236	293	342	334	334
SRGAP2-AS1	5	0	0	2	3	5	4	1	4	14	5	9
SRGAP2B	87	11	0	43	90	101	89	83	80	116	84	171
SRGAP2C	33	9	0	37	48	49	49	21	17	76	25	60
SRGAP2D	11	3	0	12	10	27	14	19	8	32	16	17
SRGAP3	119	14	0	116	182	200	199	100	99	143	150	229
SRGAP3-AS2	15	3	0	6	11	11	13	8	8	9	2	3
SRGAP3-AS3	7	2	0	6	21	10	12	3	5	1	5	9
SRGAP3-AS4	4	0	0	1	0	3	4	6	0	3	1	1
SRGN	169	1	0	98	199	155	85	58	46	59	59	252
SRGNP1	0	0	0	0	0	0	0	0	0	0	0	0
SRI	60	2	0	41	54	66	90	34	46	64	36	82
SRI-AS1	0	0	0	0	0	0	0	0	0	1	0	7
SRIP1	0	0	0	0	0	0	0	0	0	0	0	0
SRIP2	0	0	0	0	0	0	0	0	0	0	0	0
SRIP3	0	0	0	0	0	0	0	0	0	0	0	0
SRL	6	2	0	1	4	7	12	14	2	34	10	24
SRM	247	79	1	290	153	193	176	163	131	224	310	220
SRMP1	0	0	0	0	0	0	0	0	0	0	0	1
SRMP2	25	6	0	11	18	19	32	18	31	27	34	47
SRMP3	12	2	0	8	15	6	10	3	5	8	6	13
SRMS	164	307	0	338	139	28	50	73	33	19	41	51
SRP14	61	6	0	15	32	38	93	34	23	84	38	40
SRP14-DT	6	2	0	9	6	17	32	5	12	9	9	18
SRP14P1	0	0	0	0	1	0	1	0	0	0	0	1
SRP14P2	8	0	0	1	2	3	7	2	5	2	6	0
SRP14P3	1	0	0	1	0	1	3	0	0	0	2	1
SRP14P4	1	1	0	0	0	0	1	0	0	3	2	3
SRP19	85	217	2	53	34	64	192	55	66	92	94	85
SRP54	88	24	1	30	67	61	109	44	43	83	84	94
SRP54-AS1	8	0	0	6	6	1	12	8	8	10	7	5
SRP68	277	27	0	128	221	201	212	195	180	233	175	216
SRP68P1	1	0	0	0	2	3	0	0	0	0	0	1
SRP68P2	4	0	0	3	5	17	12	8	5	10	3	8
SRP68P3	0	0	0	1	0	0	1	0	0	0	0	1
SRP72	209	40	2	119	253	175	251	139	134	238	131	221
SRP72P1	0	0	0	0	0	0	0	0	0	0	0	0
SRP72P2	26	6	0	13	29	45	41	22	23	16	37	29
SRP9	153	63	0	118	188	193	153	94	56	131	120	124
SRP9P1	30	6	0	21	35	47	19	21	5	28	31	21
SRPK1	97	31	0	173	191	266	139	123	119	157	159	88
SRPK2	74	34	1	77	147	235	265	81	143	171	121	177
SRPK2P	0	0	0	0	0	1	0	0	4	0	2	0
SRPK3	27	47	0	48	55	33	16	29	14	31	26	16
SRPRA	625	102	1	315	480	449	437	411	365	683	477	571
SRPRB	107	21	0	91	162	127	81	67	65	129	95	85
SRPX	57	1	0	53	13	144	275	83	45	249	118	512
SRPX2	168	23	0	58	66	116	239	206	161	343	146	399
SRR	12	26	0	32	20	23	35	6	6	26	17	23
SRRD	45	10	0	27	18	19	68	27	47	43	48	71
SRRM1	292	128	0	292	227	222	509	206	317	475	288	461
SRRM1P1	0	0	0	0	0	0	0	0	0	0	0	0
SRRM1P2	0	0	0	0	0	0	0	0	0	0	0	0
SRRM1P3	0	0	0	0	0	0	0	0	0	0	0	0
SRRM2	7863	3048	28	4463	3679	6076	8348	6550	7169	6661	7012	10812
SRRM2-AS1	44	15	0	8	9	21	12	17	13	16	22	13
SRRM3	13	8	0	10	10	18	32	57	106	36	59	71
SRRM4	2	0	0	0	0	1	0	0	0	3	8	0
SRRM5	7	21	0	16	15	41	12	10	6	6	4	2
SRRT	347	230	1	463	518	443	466	342	496	433	589	460
SRSF1	940	163	1	505	551	654	954	465	474	730	732	794
SRSF10	137	37	2	104	188	201	234	115	155	205	177	166
SRSF10P1	0	0	0	1	0	8	2	0	0	3	2	3
SRSF10P2	0	0	0	0	0	0	0	0	0	0	0	0
SRSF11	272	62	1	217	241	653	687	278	343	406	495	631
SRSF11P1	11	0	0	2	27	5	44	6	3	4	13	22
SRSF12	3	1	0	7	9	5	31	2	6	10	5	11
SRSF1P1	0	0	0	0	0	0	0	0	0	0	0	0
SRSF2	407	63	0	299	555	491	275	273	300	347	580	454
SRSF2P1	0	0	0	0	0	2	0	0	0	0	1	0
SRSF3	199	49	0	228	286	423	448	230	292	386	265	366
SRSF3P1	2	0	0	4	0	6	8	2	3	0	2	0
SRSF3P2	0	0	0	0	0	0	0	0	0	0	0	0
SRSF3P4	0	1	0	0	0	0	1	0	2	2	0	0
SRSF3P5	0	0	0	0	0	0	0	0	0	0	0	0
SRSF3P6	0	0	0	0	0	0	7	3	0	0	1	0
SRSF4	372	266	0	252	237	316	475	360	421	390	470	474
SRSF5	303	57	0	215	263	321	1066	397	563	536	776	776
SRSF6	489	160	0	276	447	813	998	473	439	547	673	784
SRSF6P1	0	0	0	0	0	0	0	0	0	0	0	0
SRSF6P2	21	2	0	6	16	19	30	17	8	26	16	18
SRSF7	198	5	0	144	195	269	295	105	141	205	167	191
SRSF8	132	28	2	81	49	169	191	121	132	152	150	175
SRSF8BP	0	0	0	0	0	1	2	1	7	1	5	4
SRSF8CP	1	0	0	1	0	0	0	0	0	0	0	0
SRSF9	193	154	0	79	146	86	84	85	77	129	116	137
SRSF9P1	0	7	0	6	1	4	2	2	3	3	4	1
SRXN1	74	23	0	62	55	53	40	94	138	50	97	59
SRY	0	0	0	0	0	0	0	0	0	0	0	0
SS18	151	29	0	165	117	361	289	194	237	251	167	206
SS18L1	256	124	2	362	526	649	302	244	335	237	355	316
SS18L2	36	4	0	8	9	39	27	10	4	18	26	24
SS18L2P1	0	0	0	0	0	0	0	0	0	0	0	0
SS18L2P2	0	0	0	0	0	1	0	0	0	0	0	0
SSB	38	2	0	60	38	44	82	32	13	67	16	47
SSBL2P	0	0	0	0	0	0	0	0	2	0	0	1
SSBL3P	0	0	0	1	0	0	3	0	0	0	0	0
SSBL4P	1	0	0	0	0	2	2	2	1	1	1	0
SSBL5P	0	0	0	0	0	0	0	0	0	0	0	0
SSBP1	1	2	0	12	6	10	19	1	4	6	5	4
SSBP2	115	126	4	130	64	212	774	308	296	356	352	505
SSBP3	126	32	0	266	179	253	273	275	232	407	319	295
SSBP3-AS1	24	10	0	38	41	46	53	45	54	41	68	47
SSBP3P1	2	3	0	8	6	11	8	4	11	12	3	14
SSBP3P2	0	0	0	1	0	0	1	0	0	0	0	0
SSBP4	400	297	5	371	275	335	309	398	504	416	567	514
SSC4D	5	1	0	38	39	26	11	32	8	11	25	25
SSC5D	149	198	3	248	69	221	246	393	422	1010	548	395
SSH1	554	187	0	338	459	367	415	429	407	597	478	531
SSH2	171	44	0	218	273	222	234	145	179	221	196	432
SSH3	301	209	1	219	247	173	325	365	544	279	405	430
SSMEM1	0	0	0	0	0	1	0	0	0	0	0	0
SSNA1	110	46	0	102	126	102	60	64	86	85	120	67
SSPN	61	9	0	36	31	64	204	109	76	221	127	175
SSPOP	477	813	0	93	987	135	220	215	171	176	519	386
SSR1	252	55	0	304	280	210	453	345	182	478	307	360
SSR1P1	0	0	0	0	0	0	1	0	0	0	0	1
SSR1P2	0	0	0	0	2	0	0	0	0	0	0	0
SSR2	426	227	0	270	822	432	402	266	279	421	338	512
SSR3	312	225	2	168	250	299	379	264	177	356	345	387
SSR4	466	172	0	293	894	588	246	302	182	359	375	645
SSR4P1	3	1	0	6	4	6	21	17	10	13	10	12
SSRP1	315	61	0	289	392	359	327	220	211	384	315	370
SST	0	0	0	0	0	0	0	0	0	4	5	0
SSTR1	1	1	0	3	0	1	23	8	9	33	18	8
SSTR2	11	13	4	13	72	30	32	14	1	22	9	19
SSTR3	2	0	0	16	5	0	3	1	0	0	0	2
SSTR4	0	0	0	0	1	0	0	0	0	0	0	0
SSTR5	0	0	0	0	0	0	0	0	2	0	0	0
SSTR5-AS1	0	0	0	1	0	0	0	0	0	0	0	0
SSU72	193	93	0	135	145	150	127	118	132	184	238	204
SSU72P1	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P2	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P3	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P4	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P5	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P6	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P7	0	0	0	0	0	0	0	0	0	0	0	0
SSU72P8	0	0	0	0	0	0	0	0	0	0	0	0
SSUH2	9	2	0	9	5	16	8	6	2	7	5	10
SSX1	2	0	0	0	0	0	0	0	0	0	0	0
SSX2	0	0	0	0	0	0	0	0	0	0	0	0
SSX2B	0	0	0	0	0	0	0	0	0	0	0	0
SSX2IP	33	3	0	25	43	64	54	17	16	28	28	11
SSX3	0	0	0	0	0	0	0	0	0	0	0	0
SSX4	0	0	0	0	0	1	0	0	0	0	0	0
SSX4B	0	0	0	0	0	0	0	0	0	0	0	0
SSX5	0	0	0	0	0	0	0	0	0	0	0	0
SSX6P	0	0	0	0	0	0	0	0	0	0	0	0
SSX7	0	0	0	0	0	0	0	0	0	0	0	0
SSX8P	0	0	0	0	0	0	0	0	0	0	0	0
SSX9P	0	0	0	0	0	0	0	0	0	0	0	0
SSXP1	0	0	0	0	0	0	0	0	0	0	0	0
SSXP10	4	0	0	11	4	4	17	12	16	7	10	14
SSXP3	0	0	0	0	0	0	0	0	0	0	0	0
SSXP4	0	0	0	0	1	0	0	0	0	0	0	0
SSXP5	0	0	0	0	0	0	0	0	0	0	0	0
SSXP6	0	0	0	0	0	0	0	0	0	0	0	0
SSXP7	0	0	0	0	0	0	0	0	0	0	0	0
SSXP8	0	0	0	0	0	0	1	0	0	0	0	0
SSXP9	0	0	0	0	0	0	0	0	0	0	0	0
ST13	317	58	0	298	146	414	581	356	366	471	327	403
ST13P1	0	0	0	0	1	3	4	0	0	0	4	1
ST13P10	6	1	0	3	3	5	10	16	6	19	15	17
ST13P11	7	2	0	4	2	5	14	1	5	2	1	5
ST13P12	4	2	0	2	2	1	3	2	0	3	5	4
ST13P13	4	0	0	0	3	2	0	0	0	0	0	0
ST13P14	0	0	0	0	1	0	0	0	0	0	0	0
ST13P15	4	0	0	10	3	1	4	12	5	5	5	10
ST13P16	0	0	0	0	0	0	3	0	0	0	0	0
ST13P17	0	0	0	0	0	0	0	0	0	0	0	0
ST13P18	3	0	0	4	2	10	14	13	2	12	4	5
ST13P19	0	0	0	0	2	4	2	0	2	4	2	3
ST13P2	0	0	0	0	0	0	0	0	2	0	0	1
ST13P20	0	0	0	0	3	1	1	17	13	1	8	1
ST13P21	0	0	0	0	0	0	0	0	0	0	0	0
ST13P22	7	1	0	3	2	3	17	2	19	9	12	13
ST13P3	5	0	0	1	1	2	2	4	7	3	3	2
ST13P4	1	0	0	0	5	4	13	15	3	8	2	5
ST13P5	3	3	0	7	2	14	11	5	2	25	6	16
ST13P6	6	2	0	4	1	3	10	1	4	2	1	4
ST13P7	4	0	0	17	8	8	15	12	4	10	10	11
ST13P8	0	0	0	0	0	0	0	0	0	0	0	0
ST13P9	0	0	0	0	2	0	0	1	0	0	0	0
ST14	836	363	3	515	1178	1418	477	712	837	513	1027	547
ST18	9	3	0	5	0	9	3	1	10	3	4	4
ST20	1	0	0	0	5	1	6	0	0	3	3	2
ST20-AS1	33	45	0	22	14	31	17	19	39	17	61	13
ST20-MTHFS	0	0	0	0	0	0	0	0	0	0	0	0
ST3GAL1	482	339	16	518	228	378	354	359	314	331	447	443
ST3GAL1P1	18	8	0	4	13	4	29	2	9	2	7	12
ST3GAL2	256	189	0	337	281	311	314	241	281	347	389	311
ST3GAL3	103	17	0	126	115	140	172	162	174	223	209	250
ST3GAL3-AS1	0	1	0	0	2	0	4	3	2	1	4	2
ST3GAL4	132	34	2	390	110	582	126	152	140	182	205	169
ST3GAL5	66	3	0	35	77	34	131	115	56	76	98	99
ST3GAL5-AS1	2	8	0	2	2	2	8	9	2	3	1	5
ST3GAL5P1	2	0	0	0	0	3	8	0	0	1	0	0
ST3GAL6	41	64	0	37	28	250	80	35	36	42	79	59
ST3GAL6-AS1	1	4	0	1	1	11	0	2	0	0	2	0
ST6GAL1	686	341	0	241	680	154	278	153	125	223	203	405
ST6GAL2	117	45	0	6	9	63	79	63	11	55	66	33
ST6GALNAC1	77	64	0	10	31	3	15	24	9	13	13	16
ST6GALNAC2	75	14	2	42	73	145	161	163	273	167	221	161
ST6GALNAC2P1	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC3	10	0	0	12	16	16	53	38	19	36	42	71
ST6GALNAC4	26	7	0	60	23	23	24	45	25	31	59	43
ST6GALNAC4-ST6GALNAC6-AK1	0	0	0	1	2	0	6	0	2	0	0	2
ST6GALNAC4P1	7	2	0	6	0	2	6	2	3	1	3	5
ST6GALNAC5	42	3	0	28	0	68	16	10	14	18	28	50
ST6GALNAC6	0	0	0	1	1	0	1	0	0	0	1	3
ST7	32	9	0	26	46	69	43	33	31	57	44	92
ST7-AS1	3	2	2	9	5	3	5	12	1	8	15	10
ST7-AS2	7	2	0	7	16	11	8	8	4	7	2	6
ST7-OT3	3	0	0	0	0	2	1	5	1	5	4	4
ST7-OT4	14	0	0	6	13	10	26	13	11	14	17	18
ST7L	24	26	0	36	45	64	59	40	41	58	43	79
ST8SIA1	42	7	3	179	29	107	68	36	44	81	94	74
ST8SIA2	8	0	0	14	2	60	78	13	8	7	2	9
ST8SIA3	0	0	0	2	0	0	0	0	0	0	0	0
ST8SIA4	64	6	0	44	63	27	29	23	19	36	16	46
ST8SIA5	4	1	0	3	2	6	2	0	3	1	2	6
ST8SIA5-DT	9	15	0	9	4	33	23	5	9	5	11	17
ST8SIA6	16	3	0	20	19	19	81	38	30	42	66	85
ST8SIA6-AS1	20	2	0	12	16	5	7	1	4	3	2	5
STAB1	2605	470	3	1231	2023	1948	1259	2388	1475	2578	3105	5517
STAB2	26	5	0	38	12	25	144	67	42	59	33	391
STAC	12	1	0	35	5	28	31	10	2	17	18	34
STAC2	706	511	1	449	11	791	735	631	494	366	1148	957
STAC3	10	13	0	12	47	29	34	10	20	13	19	29
STAG1	167	13	0	98	207	213	343	169	167	275	198	235
STAG2	167	14	0	135	166	284	475	187	206	334	182	297
STAG2-AS1	1	2	0	0	2	1	3	0	1	3	0	1
STAG3	29	0	0	48	65	105	125	54	61	69	64	90
STAG3L1	12	69	1	30	35	49	47	27	22	26	59	33
STAG3L2	56	97	1	66	54	105	117	77	56	69	167	145
STAG3L3	42	103	1	52	45	78	87	64	43	45	104	89
STAG3L4	31	6	0	32	29	42	52	56	33	29	56	42
STAG3L5P	13	15	1	16	9	13	39	30	20	28	61	48
STAG3L5P-PVRIG2P-PILRB	118	190	3	169	336	283	472	157	163	140	332	318
STAM	78	18	0	49	87	99	109	59	59	92	51	110
STAM-DT	1	3	0	2	19	0	2	0	0	0	1	7
STAM2	55	8	0	35	39	54	103	69	46	116	34	66
STAMBP	178	62	0	101	134	159	208	138	147	144	191	191
STAMBPL1	26	5	0	31	49	21	41	17	8	36	29	33
STAP1	5	0	0	6	3	0	5	0	0	0	0	5
STAP2	143	101	2	42	84	108	86	191	202	114	230	112
STAR	4	10	0	12	3	8	24	20	9	26	27	13
STARD10	307	149	0	92	153	97	209	124	127	140	218	194
STARD13	135	28	0	86	157	139	351	349	267	518	363	516
STARD13-AS	10	0	0	7	14	7	27	23	39	28	38	73
STARD3	249	206	0	304	371	248	256	234	305	233	456	343
STARD3NL	55	5	0	17	28	39	48	13	16	46	28	59
STARD4	22	4	0	14	36	7	13	17	15	12	43	23
STARD4-AS1	45	4	0	21	46	89	57	26	17	37	41	54
STARD5	12	3	0	9	14	11	27	20	40	44	44	22
STARD6	0	0	0	0	0	1	0	0	0	1	0	0
STARD7	279	86	0	256	237	436	330	235	269	285	329	310
STARD7-AS1	23	7	0	18	19	50	50	25	25	41	38	40
STARD8	144	26	0	75	88	92	155	126	164	150	196	404
STARD9	270	36	0	270	214	336	757	633	939	769	829	1398
STARP1	0	0	0	0	0	0	0	0	0	0	0	0
STAT1	1532	123	3	885	1889	466	351	230	287	365	368	429
STAT2	969	415	0	716	1764	774	1384	578	581	590	751	1074
STAT3	1121	439	3	994	1298	1064	1165	1314	1286	1641	1737	1703
STAT4	38	5	0	40	63	29	46	27	22	35	42	48
STAT4-AS1	0	0	0	1	3	0	0	0	0	0	0	0
STAT5A	343	98	0	283	189	251	481	306	278	300	609	635
STAT5B	319	99	16	310	198	375	765	464	490	621	700	696
STAT6	845	507	9	708	739	987	1258	1403	1430	1417	1492	1696
STATH	0	0	0	3	0	0	0	0	0	0	0	0
STAU1	259	188	1	294	295	352	350	255	230	319	265	252
STAU2	35	8	0	39	109	103	107	45	40	85	41	78
STAU2-AS1	1	0	0	1	11	3	9	4	0	0	3	2
STAU2P1	0	0	0	1	0	0	1	0	0	0	0	0
STBD1	4	17	0	6	2	2	2	3	1	3	5	8
STC1	100	9	1	85	26	35	40	54	18	50	19	100
STC2	66	7	0	213	105	171	952	162	226	281	609	1548
STEAP1	29	1	0	9	13	14	14	8	8	11	8	21
STEAP1B	45	0	0	0	20	6	5	1	5	6	5	7
STEAP1B-AS1	28	0	0	2	4	2	1	0	3	1	1	9
STEAP2	143	10	0	54	109	100	135	197	72	198	197	363
STEAP2-AS1	0	0	0	0	4	0	1	1	0	3	5	4
STEAP3	274	256	0	227	156	388	191	121	83	98	182	279
STEAP3-AS1	14	10	0	8	3	22	8	7	6	1	6	8
STEAP4	544	57	0	29	33	88	259	189	148	230	181	430
STEEP1	53	104	13	48	18	32	74	50	35	48	47	41
STH	0	1	0	0	0	0	0	0	0	0	0	0
STIL	71	19	0	45	89	89	20	13	10	22	23	30
STIM1	328	208	0	363	224	346	491	460	514	636	700	658
STIM1-AS1	3	0	0	0	7	3	0	0	0	1	1	3
STIM2	89	13	0	64	104	70	146	94	80	101	98	131
STIM2-AS1	0	1	0	1	14	2	3	5	0	2	1	5
STIMATE	203	72	0	167	146	170	178	229	201	189	325	250
STIMATE-MUSTN1	0	0	0	0	0	0	0	0	0	0	0	0
STING1	183	35	0	156	126	162	172	210	239	276	317	312
STIP1	170	55	0	379	326	202	290	161	116	252	174	169
STIP1P1	56	4	0	0	3	2	3	1	2	1	3	9
STIP1P2	0	0	0	0	7	5	4	3	2	1	4	2
STIP1P3	4	0	0	2	2	2	3	2	0	2	0	2
STK10	404	136	9	337	297	243	204	169	208	248	269	295
STK11	266	197	19	457	237	387	281	442	515	309	574	377
STK11IP	242	333	1	228	230	179	168	202	241	154	384	219
STK16	74	23	1	45	61	58	61	96	75	70	102	81
STK16P1	11	0	0	8	7	21	19	11	13	15	10	24
STK17A	26	10	0	41	21	16	35	24	11	19	31	18
STK17B	231	235	0	122	153	107	241	110	95	127	90	208
STK19	3	0	0	0	1	0	0	0	5	0	0	1
STK19B	0	0	0	0	0	0	0	0	0	0	0	0
STK24	99	32	0	93	354	286	213	236	217	285	194	326
STK24-AS1	0	0	0	3	25	7	6	1	14	2	4	2
STK24P1	0	0	0	0	0	0	0	0	0	0	0	0
STK25	388	275	1	335	353	292	405	444	411	415	544	503
STK25P1	0	0	0	0	0	0	1	0	0	0	0	0
STK26	1	1	0	43	17	98	23	21	11	13	25	8
STK3	64	42	0	97	103	136	141	49	72	108	71	112
STK31	0	0	0	0	2	5	1	8	4	3	3	1
STK32A	6	0	0	11	17	85	14	19	7	60	16	24
STK32A-AS1	0	0	0	1	0	5	0	2	7	3	4	8
STK32B	15	3	0	3	16	37	55	20	24	53	71	61
STK32C	49	36	0	123	43	127	84	74	107	39	107	90
STK33	3	1	2	3	1	14	10	15	5	17	27	14
STK33P1	0	0	0	0	0	0	0	0	0	0	0	0
STK35	209	179	0	350	375	425	252	391	460	427	530	495
STK36	300	72	0	214	262	213	425	225	174	213	321	408
STK38	175	196	4	288	208	298	361	178	170	197	230	343
STK38L	207	14	0	65	94	145	85	76	94	140	137	74
STK39	101	9	0	121	135	162	210	128	168	172	234	217
STK4	234	102	0	300	248	242	303	231	182	254	194	250
STK4-DT	3	0	0	2	6	0	4	0	2	1	0	0
STK40	367	197	3	319	247	244	242	500	649	503	644	358
STKLD1	23	13	0	44	44	38	59	59	79	45	69	55
STMN1	60	16	0	185	223	347	61	45	32	59	57	73
STMN1P1	0	0	0	4	1	2	4	0	0	2	1	4
STMN1P2	0	0	0	0	0	0	0	0	0	0	0	0
STMN2	5	0	0	2	3	0	3	32	23	71	11	4
STMN3	92	57	0	164	78	390	167	147	159	238	280	200
STMN4	0	0	0	0	0	1	2	1	0	1	0	0
STMND1	0	0	0	0	0	0	3	0	0	2	0	1
STMP1	44	16	1	48	68	92	73	59	33	63	66	45
STN1	117	14	0	54	47	84	170	127	130	155	132	172
STOM	557	65	0	269	193	338	537	415	355	606	448	715
STOML1	76	54	0	58	46	52	43	66	67	68	87	76
STOML2	147	65	0	234	195	172	170	155	193	168	238	202
STOML3	0	0	0	0	0	0	2	0	0	0	0	0
STON1	37	6	0	60	18	29	46	66	63	75	57	56
STON1-GTF2A1L	2	1	0	1	1	0	5	0	0	0	7	8
STON2	109	13	1	86	268	250	527	170	215	296	319	516
STOX1	4	2	0	1	2	25	16	0	2	3	6	20
STOX2	7	7	0	74	492	113	159	241	200	259	279	227
STPG1	12	2	0	18	22	19	38	46	28	31	30	28
STPG2	7	4	0	0	4	8	21	2	4	5	3	14
STPG2-AS1	0	0	0	0	0	0	1	0	0	0	0	1
STPG3	0	0	0	0	0	0	0	0	0	0	0	0
STPG3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
STPG4	3	0	0	1	2	11	8	0	1	1	0	3
STRA6	121	42	0	107	409	89	158	130	113	211	250	56
STRA6LP	13	0	0	19	21	43	68	21	23	50	50	55
